                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.74805,                0.51562,                 1.2178,                0.90829,                0.86014,                0.89774,                0.71035,                0.86887,                0.64064,                 1.4203,               0.000307,               0.000307,               0.000307
                     73,                0.74164,                0.50585,                 1.2067,                0.91554,                0.87041,                 0.8989,                0.70758,                 0.8622,                0.63132,                  1.404,              0.0002971,              0.0002971,              0.0002971
                     74,                0.73145,                0.49725,                  1.202,                0.91273,                0.88412,                0.89633,                0.71495,                0.85821,                0.62221,                 1.3906,              0.0002872,              0.0002872,              0.0002872
                     75,                0.72346,                 0.4954,                 1.2011,                0.91429,                 0.8769,                0.89996,                0.72326,                0.86034,                0.63162,                 1.4038,              0.0002773,              0.0002773,              0.0002773
                     76,                0.72714,                0.50038,                 1.1963,                0.91677,                0.87616,                0.90269,                0.71969,                0.84967,                0.61474,                 1.3845,              0.0002674,              0.0002674,              0.0002674
                     77,                0.71069,                0.49071,                 1.1967,                0.90692,                0.87773,                0.89995,                 0.7159,                0.85535,                0.62716,                 1.3806,              0.0002575,              0.0002575,              0.0002575
                     78,                0.74009,                0.49801,                 1.2105,                0.86061,                0.85435,                 0.8978,                 0.7118,                0.85237,                0.69073,                  1.402,              0.0002476,              0.0002476,              0.0002476
                     79,                0.70119,                0.49205,                 1.1799,                0.92303,                0.86903,                0.90865,                 0.7221,                0.84967,                0.60288,                 1.3942,              0.0002377,              0.0002377,              0.0002377
                     80,                0.71257,                0.49153,                 1.1998,                0.91313,                0.89644,                 0.9054,                0.72608,                0.88025,                0.60901,                 1.4322,              0.0002278,              0.0002278,              0.0002278
                     81,                  0.696,                0.47447,                 1.1841,                0.92756,                0.88031,                0.90505,                0.72229,                0.83447,                0.61255,                 1.3863,              0.0002179,              0.0002179,              0.0002179
                     82,                0.69316,                0.47158,                 1.1834,                 0.9256,                0.88892,                0.90558,                0.72502,                0.85105,                0.59701,                 1.4053,               0.000208,               0.000208,               0.000208
                     83,                0.68931,                0.47173,                 1.1789,                0.92875,                0.87371,                0.90119,                 0.7136,                0.86183,                0.62627,                 1.4151,              0.0001981,              0.0001981,              0.0001981
                     84,                0.68871,                0.46515,                 1.1774,                0.93668,                0.88873,                0.91315,                0.73218,                0.83803,                0.59749,                 1.3854,              0.0001882,              0.0001882,              0.0001882
                     85,                0.68477,                0.46074,                 1.1753,                0.93449,                 0.8903,                0.91209,                0.73056,                0.84983,                0.58925,                  1.386,              0.0001783,              0.0001783,              0.0001783
                     86,                0.67814,                0.45067,                 1.1621,                0.92496,                0.88098,                0.90889,                0.73111,                0.84551,                0.59351,                 1.3814,              0.0001684,              0.0001684,              0.0001684
                     87,                0.68332,                0.46371,                 1.1773,                0.93899,                0.88187,                0.91417,                0.73602,                0.84825,                0.60554,                 1.4035,              0.0001585,              0.0001585,              0.0001585
                     88,                0.67577,                0.45257,                 1.1703,                0.92399,                0.87883,                0.91068,                0.72811,                0.85341,                0.60187,                 1.4034,              0.0001486,              0.0001486,              0.0001486
                     89,                0.67151,                0.45056,                 1.1672,                0.92351,                0.88538,                0.90666,                0.73275,                 0.8453,                0.58125,                 1.3937,              0.0001387,              0.0001387,              0.0001387
                     90,                0.66348,                0.43883,                 1.1657,                0.92559,                0.88608,                0.90549,                0.72313,                 0.8528,                0.61032,                 1.3958,              0.0001288,              0.0001288,              0.0001288
                     91,                0.51783,                0.32306,                 1.1251,                0.91193,                0.89294,                0.90858,                 0.7266,                0.85688,                0.61812,                 1.4146,              0.0001189,              0.0001189,              0.0001189
                     92,                0.50755,                0.30333,                 1.1195,                0.93459,                0.89317,                0.90999,                   0.73,                0.84519,                0.60312,                 1.4125,               0.000109,               0.000109,               0.000109
                     93,                0.49585,                0.29523,                 1.1114,                0.93622,                0.88692,                0.91567,                0.74265,                0.84318,                0.58055,                 1.4167,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.48999,                0.28799,                 1.0946,                0.93186,                0.89036,                0.91301,                0.74087,                0.83418,                0.58286,                 1.4046,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.48793,                0.28394,                 1.0909,                0.95009,                0.90097,                0.92049,                0.75068,                0.82706,                0.55374,                 1.3965,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.47961,                0.27787,                 1.0979,                0.93176,                0.89361,                 0.9161,                0.74006,                0.82404,                0.56142,                 1.3925,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.47168,                0.26984,                 1.0778,                0.94202,                0.90472,                0.91512,                0.74516,                0.82612,                0.57754,                  1.392,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.46745,                0.26633,                 1.0818,                0.94837,                0.90211,                  0.916,                0.74557,                0.82423,                0.56503,                 1.3963,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.46331,                0.26003,                 1.0773,                0.95167,                0.89972,                0.91475,                 0.7471,                0.82563,                0.56588,                 1.4023,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.45041,                0.26904,                 1.0641,                0.94955,                0.89928,                0.91447,                0.74438,                0.82473,                0.56367,                 1.4025,               2.98e-05,               2.98e-05,               2.98e-05
